id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,code_postal,code_commune,nom_commune,code_departement,type_local,surface_reelle_bati,nombre_pieces_principales,lot1_surface_carrez
2023-000001,2023-05-06,1,Vente,281376,44000,44109,Nantes,44,Appartement,48,4,
2023-000002,2023-10-15,2,Vente,394425,69002,69382,Lyon 2e Arrondissement,69,Appartement,45,1,42
2023-000003,2023-06-22,4,Vente,184992,13007,13207,Marseille 7e Arrondissement,13,Maison,96,1,91
2023-000004,2023-11-18,3,Vente,632772,13011,13211,Marseille 11e Arrondissement,13,Maison,162,2,153
2023-000005,2023-05-23,1,Vente,910470,67000,67482,Strasbourg,67,Maison,186,6,176
2023-000006,2023-08-25,2,Vente,859549,75018,75118,Paris 18e Arrondissement,75,Maison,167,5,158
2023-000007,2023-01-17,2,Vente,961500,67000,67482,Strasbourg,67,Maison,150,3,142
2023-000008,2023-03-15,4,Vente en l'état futur d'achèvement,357114,13011,13211,Marseille 11e Arrondissement,13,Appartement,53,3,50
2023-000009,2023-03-12,4,Vente,910890,13011,13211,Marseille 11e Arrondissement,13,Dépendance,290,,275
2023-000010,2023-09-28,1,Vente,813858,13011,13211,Marseille 11e Arrondissement,13,Dépendance,158,,150
2023-000011,2023-06-24,2,Vente,236504,31000,31555,Toulouse,31,Appartement,34,3,32
2023-000012,2023-11-24,1,Vente en l'état futur d'achèvement,751424,75011,75111,Paris 11e Arrondissement,75,Maison,199,5,189
2023-000013,2023-06-07,1,Vente,307952,33000,33063,Bordeaux,33,Local industriel. commercial ou assimilé,152,,144
2023-000014,2023-09-01,2,Vente,905940,31000,31555,Toulouse,31,Maison,210,4,199
2023-000015,2023-06-09,1,Vente,618340,35000,35238,Rennes,35,Maison,172,3,163
2023-000016,2023-12-29,1,Vente,321980,69002,69382,Lyon 2e Arrondissement,69,Maison,85,3,80
2023-000017,2023-03-09,4,Vente,1416528,69006,69386,Lyon 6e Arrondissement,69,Maison,216,6,
2023-000018,2023-12-11,2,Vente,495842,13011,13211,Marseille 11e Arrondissement,13,Appartement,103,1,
2023-000019,2023-05-23,1,Vente,497779,31000,31555,Toulouse,31,Appartement,79,1,75
2023-000020,2023-05-02,4,Vente en l'état futur d'achèvement,327520,31000,31555,Toulouse,31,Dépendance,115,,109
2023-000021,2023-05-16,4,Vente,471338,75018,75118,Paris 18e Arrondissement,75,Dépendance,262,,
2023-000022,2023-10-05,2,Vente,462910,69006,69386,Lyon 6e Arrondissement,69,Maison,85,5,
2023-000023,2023-11-01,1,Vente,196968,31000,31555,Toulouse,31,Maison,87,1,
2023-000024,2023-05-14,3,Vente,682834,06000,06088,Nice,06,Maison,122,6,
2023-000025,2023-11-15,2,Vente en l'état futur d'achèvement,523230,35000,35238,Rennes,35,Maison,214,1,
2023-000026,2023-06-04,1,Vente,413658,75018,75118,Paris 18e Arrondissement,75,Appartement,98,6,93
2023-000027,2023-10-11,4,Vente,323349,75018,75118,Paris 18e Arrondissement,75,Appartement,39,3,
2023-000028,2023-05-22,2,Vente,112125,67000,67482,Strasbourg,67,Appartement,25,3,23
2023-000029,2023-02-27,1,Vente,116986,31000,31555,Toulouse,31,Appartement,29,2,
2023-000030,2023-07-03,4,Adjudication,388926,35000,35238,Rennes,35,Maison,123,5,116
2023-000031,2023-03-25,2,Vente,464520,59000,59350,Lille,59,Local industriel. commercial ou assimilé,120,,
2023-000032,2023-01-20,3,Vente,695210,35000,35238,Rennes,35,Maison,190,3,180
2023-000033,2023-04-09,4,Vente,764540,67000,67482,Strasbourg,67,Maison,172,5,163
2023-000034,2023-03-01,1,Vente,347842,67000,67482,Strasbourg,67,Local industriel. commercial ou assimilé,163,,
2023-000035,2023-08-12,2,Vente,319227,13011,13211,Marseille 11e Arrondissement,13,Appartement,97,1,
2023-000036,2023-11-16,3,Echange,1098010,75011,75111,Paris 11e Arrondissement,75,Local industriel. commercial ou assimilé,190,,180
